book_id,book_title,author,format,publication_year,publication_date,num_pages_final,num_ratings,num_reviews,average_rating,ratings_1_star,ratings_2_star,ratings_3_star,ratings_4_star,ratings_5_star,ratings_total_from_dist,main_genre,genres_list_clean,num_pages_fill_source,genres_mapped_clean
33590260,Kingdom of Ash,Sarah J. Maas,"['980 pages, Hardcover']",2018.0,2018-10-23,980.0,566434,58937,4.69,2411,5143,25254,99088,434538,566434,young adult,"young adult,romance,fae,new adult,magic,young adult fantasy",existing_or_parsed,"adult fiction, romance, paranormal & supernatural"
33597279,When the Moon Comes,Paul  Harbridge,"['40 pages, Hardcover']",2017.0,2017-09-12,40.0,409,100,3.92,4,21,102,159,123,409,picture books,"picture books,sports,childrens,hockey,canada,realistic fiction",existing_or_parsed,"children & pre-teens, arts & pop culture, world literature, contemporary & slice of life"
33597976,The Snow Child,Eowyn Ivey,"['423 pages, Kindle Edition']",2012.0,2012-02-01,423.0,149722,18559,4.0,1953,5990,29856,63851,48072,149722,historical fiction,"historical fiction,fantasy,magical realism,historical,fairy tales,adult",existing_or_parsed,"historical fiction, fantasy, paranormal & supernatural, historical, adult fiction"
33623824,Get Rich or Get Lucky,Max Nowaz,"['276 pages, Paperback']",2019.0,,276.0,10997,64,4.25,201,448,645,4784,4919,10997,fantasy,"fantasy,contemporary,paranormal,urban fantasy",existing_or_parsed,"fantasy, contemporary & slice of life, paranormal & supernatural"
33643994,Daughter of the Pirate King,Tricia Levenseller,"['308 pages, Hardcover']",2017.0,2017-02-28,308.0,196310,22641,3.96,3104,9447,41569,79881,62309,196310,fantasy,"fantasy,young adult,romance,pirates,young adult fantasy,adventure",existing_or_parsed,"fantasy, adult fiction, romance, other / niche, adventure"
33783426,Una vita come tante,Hanya Yanagihara,"['1104 pages, ebook']",2015.0,2015-03-10,1104.0,635677,102694,4.33,17257,26520,62830,150548,378522,635677,contemporary,"contemporary,lgbt,literary fiction,queer,adult,mental health",existing_or_parsed,"contemporary & slice of life, lgbtq+, literature & classics, adult fiction, philosophy & education & personal development"
33784373,Hunting Prince Dracula,Kerri Maniscalco,"['448 pages, Hardcover']",2017.0,2017-09-19,448.0,73528,10452,4.21,441,1825,10760,29038,31464,73528,historical fiction,"historical fiction,mystery,young adult,romance,historical,fantasy,horror",existing_or_parsed,"historical fiction, mystery & crime, adult fiction, romance, historical, fantasy, horror"
33846385,El día que dejó de nevar en Alaska,Alice Kellen,"['352 pages, Paperback']",2017.0,2017-10-09,352.0,53660,8115,4.44,217,935,5265,16044,31199,53660,romance,"romance,new adult,erotic romance,contemporary,young adult,love,spanish literature",existing_or_parsed,"romance, adult fiction, contemporary & slice of life, literature & classics"
33897359,First Year,Rachel E. Carter,"['322 pages, Kindle Edition']",2014.0,2014-08-11,322.0,22472,1790,3.94,464,1311,4871,8324,7502,22472,fantasy,"fantasy,young adult,magic,romance,young adult fantasy,high fantasy,paranormal",existing_or_parsed,"fantasy, adult fiction, paranormal & supernatural, romance"
34042261,Undercover Princess,Connie Glynn,"['441 pages, Kindle Edition']",2017.0,2017-11-02,441.0,10460,1334,4.03,176,530,2068,3708,3978,10460,fantasy,"fantasy,young adult,middle grade,romance,contemporary,lgbt",existing_or_parsed,"fantasy, adult fiction, children & pre-teens, romance, contemporary & slice of life, lgbtq+"
34050917,The Girl in the Tower,Katherine Arden,"['360 pages, Hardcover']",2017.0,2017-12-05,360.0,97974,10856,4.36,535,1285,9202,38786,48166,97974,fantasy,"fantasy,historical fiction,young adult,historical,mythology,fairy tales",existing_or_parsed,"fantasy, historical fiction, adult fiction, historical, paranormal & supernatural"
34076952,The Language of Thorns: Midnight Tales and Dangerous Magic,Leigh Bardugo,"['281 pages, Hardcover']",2017.0,2017-09-26,281.0,58442,9346,4.29,268,1229,7783,21049,28113,58442,fantasy,"fantasy,young adult,retellings,young adult fantasy,fairy tales",existing_or_parsed,"fantasy, adult fiction, other / niche, paranormal & supernatural"
34088743,أرض السافلين,أحمد خالد مصطفى,"['391 pages, Paperback']",2017.0,2017-01-01,391.0,7013,804,3.53,657,782,1651,2008,1915,7013,fantasy,"fantasy,horror,politics,literature,science fiction",existing_or_parsed,"fantasy, horror, world literature, literature & classics, science fiction"
34186576,"Being a Witch, and Other Things I Didn't Ask for",Sara Pascoe,"['380 pages, Paperback']",2015.0,2015-10-22,380.0,6360,75,4.3,93,179,353,2821,2914,6360,adventure,"adventure,young adult,action,teen,fantasy",existing_or_parsed,"adventure, adult fiction, action, young adult, fantasy"
34197014,Trickster's Choice,Tamora Pierce,"['448 pages, Paperback']",2003.0,2003-09-23,448.0,66069,1663,4.26,984,2096,9048,20583,33358,66069,fantasy,"fantasy,young adult,young adult fantasy,magic,adventure,romance",existing_or_parsed,"fantasy, adult fiction, paranormal & supernatural, adventure, romance"
34197390,Trickster's Queen,Tamora Pierce,"['496 pages, Paperback']",2004.0,2004-09-28,496.0,59931,1153,4.28,634,1761,8386,18388,30762,59931,fantasy,"fantasy,young adult,young adult fantasy,magic,romance,adventure",existing_or_parsed,"fantasy, adult fiction, paranormal & supernatural, romance, adventure"
